Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Atlanta,Orlando,Atlanta,+6.5,221.5.,218,[]
Minnesota,Cleveland,Cleveland,-8,231.5.,235,[]
San Antonio,Washington,Washington,+11,237.5.,252,[]
Boston,Miami,Boston,-8.5,210.5.,188,[]
Charlotte,Brooklyn,Brooklyn,-5,212.,186,[]
New Orleans,Oklahoma City,Oklahoma City,-17.5,232.5.,238,[]
Golden State,Milwaukee,Golden State,-7,231.5.,236,[]
Sacramento,Dallas,Dallas,+1.5,238.5.,257,[]
Portland,Denver,Denver,-9,229.5.,263,[]
Utah,L.A. Lakers,L.A. Lakers,-12,235.5.,245,[]
