Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
NJIT,Maine,-10.0,131.5.,101,[],False
UMBC,New Hampshire,13.5,152.,155,[],False
Albany,Bryant,-3.5,160.,168,[],False
Florida Gulf Coast,Florida Gulf Coast,-13.0,142.5.,142,[],False
Bellarmine,Lipscomb,-15.0,144.5.,140,[],False
Longwood,Longwood,4.0,153.5.,162,[],False
Jacksonville,Jacksonville,1.0,142.5.,124,[],False
Temple,Temple,7.0,155.5.,169,[],False
Siena,Siena,-1.0,143.,168,[],False
Jacksonville St.,Jacksonville St.,3.0,138.5.,124,[],False
Campbell,Charleston,-4.5,152.5.,128,[],False
Stetson,Queens University of Charlotte,-5.0,156.5.,155,[],False
Coastal Carolina,Georgia Southern,1.5,140.5.,175,[],False
Rider,Rider,1.0,137.5.,126,[],False
Minnesota,Minnesota,10.5,145.5.,165,[],False
Florida International,New Mexico St.,-3.0,142.5.,111,[],False
Iona,Iona,-11.5,140.5.,143,[],False
UNC Wilmington,UNC Wilmington,-6.5,141.,152,[],False
Kennesaw St.,Kennesaw St.,-1.5,161.5.,144,[],False
Quinnipiac,Quinnipiac,-4.5,135.,157,[],False
Old Dominion,Appalachian St.,-3.0,135.5.,105,[],False
Drexel,Elon University,1.5,133.5.,119,[],False
Hampton,Hampton,4.0,151.5.,131,[],False
Fairfield,Fairfield,-2.0,134.,136,[],False
Vermont,Binghamton,11.0,127.,136,[],False
James Madison,Marshall,7.0,144.5.,131,[],False
Saint Peter'S,Marist,1.5,122.,107,[],False
North Carolina A&T,Monmouth-NJ,-2.0,153.,135,[],False
North Florida,North Florida,-11.5,157.5.,172,[],False
Morehead St.,Western Illinois,8.5,131.,98,[],False
South Dakota,South Dakota,-7.5,172.,174,[],False
Austin Peay,Austin Peay,2.5,142.,187,[],False
South Dakota State,South Dakota State,-12.0,157.5.,182,[],False
Northern Arizona,Northern Arizona,-8.0,138.,130,[],False
Tarleton State,Tarleton State,3.5,131.,124,[],False
Texas-Arlington,Utah Valley,1.0,146.,168,[],False
Northern Colorado,Portland St.,9.5,153.5.,141,[],False
North Dakota State,Kansas City,9.0,140.,135,[],False
Arkansas St.,Arkansas St.,-16.5,147.5.,146,[],False
Tennessee St.,SIU Edwardsville,1.0,142.,167,[],False
Tennessee Tech,SE Missouri St.,1.5,142.5.,147,[],False
Southern Indiana,Southern Indiana,-1.0,142.5.,153,[],False
Tenn-Martin,Eastern Illinois,5.5,136.,131,[],False
Nebraska,Rutgers,8.5,146.5.,167,[],False
Idaho State,Idaho State,-1.5,138.,137,[],False
Northwestern,Northwestern,2.0,139.5.,150,[],False
Liberty,Texas-El Paso,9.0,134.5.,142,[],False
Weber St.,Montana,1.0,145.5.,122,[],False
Grand Canyon,Grand Canyon,-13.5,144.5.,146,[],False
Portland,Pacific,4.0,147.,165,[],False
Long Beach St.,UC San Diego,-15.0,136.,134,[],False
Cal Poly SLO,UC Davis,5.5,157.,119,[],False
Seattle,Seattle,-12.0,140.5.,144,[],False
UC Irvine,UC Irvine,-19.5,136.,144,[],False
Pepperdine,San Francisco,-6.5,149.,143,[],False
UC Santa Barbara,UC Riverside,6.5,140.5.,129,[],False
Loyola Marymount,Loyola Marymount,4.0,149.5.,111,[],False
San Diego,San Diego,13.0,153.5.,126,[],False
Oregon St.,Oregon St.,9.0,151.5.,186,[],False
