Rank,Hotness Score,Matchup,Time,Location
1,99.0,#5 Alabama  at  #25 Missouri,9:00 PM,Mizzou Arena
2,96.9,#39 Arkansas  at  #1 Auburn,9:00 PM,Neville Arena
3,96.3,#51 Vanderbilt  at  #17 Kentucky,7:00 PM,Rupp Arena at Central Bank Center
4,95.9,#38 Cincinnati  at  #44 W Virginia,7:00 PM,WVU Coliseum
5,95.5,#35 Oregon  at  #56 Iowa,8:30 PM,Carver-Hawkeye Arena
6,95.4,#40 New Mexico  at  #53 Boise St,10:00 PM,ExtraMile Arena
7,94.2,#46 Nebraska  at  #60 Penn St,6:30 PM,Bryce Jordan Center
8,92.7,#41 S Methodist  at  #80 Notre Dame,7:00 PM,Purcell Pavilion at the Joyce Center
9,91.5,#9 Gonzaga  at  #106 Wash State,9:00 PM,Friel Court at Beasley Coliseum
10,91.1,#94 NC State  at  #36 N Carolina,7:00 PM,Dean E. Smith Center
11,90.3,#15 St Johns  at  #110 DePaul,9:00 PM,Wintrust Arena
12,89.6,#75 Providence  at  #87 Georgetown,7:00 PM,Capital One Arena
13,89.4,#68 Rutgers  at  #95 Washington,10:30 PM,Alaska Airlines Arena at Hec Edmundson Pavilion
14,89.3,#67 UCF  at  #98 Oklahoma St,9:00 PM,Gallagher-Iba Arena
15,85.8,#85 St Josephs  at  #114 Geo Wshgtn,7:00 PM,Charles E. Smith Center
16,84.6,#123 Miami  at  #78 Florida St,9:00 PM,Donald L. Tucker Center
17,83.0,#135 IL-Chicago  at  #79 Drake,7:30 PM,Knapp Center
18,82.7,#89 Bradley  at  #137 Illinois St,8:00 PM,CEFCU Arena - Home of the Redbirds
19,82.6,#161 U Mass  at  #37 VCU,6:00 PM,Stuart C. Siegel Center
20,81.0,#143 S Alabama  at  #92 Arkansas St,8:00 PM,First National Bank Arena
21,80.6,#103 N Iowa  at  #142 Belmont,7:30 PM,Curb Event Center
22,79.5,#178 San Jose St  at  #50 Utah St,9:30 PM,Dee Glen Smith Spectrum
23,78.1,#154 Furman  at  #107 Samford,7:30 PM,Pete Hanna Center
24,77.4,#155 N Dakota St  at  #113 S Dakota St,8:00 PM,First Bank & Trust Arena
25,75.6,#131 NC-Grnsboro  at  #156 E Tenn St,7:00 PM,Freedom Hall Civic Center
26,74.2,#102 UAB  at  #189 Rice,8:00 PM,Tudor Fieldhouse
27,73.2,#159 E Carolina  at  #146 Tulane,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
28,71.9,#184 S Illinois  at  #127 Murray St,7:00 PM,CFSB Center
29,68.5,#202 Fordham  at  #132 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
30,66.4,#245 Tulsa  at  #81 North Texas,8:00 PM,UNT Coliseum
31,62.0,#129 St. Thomas  at  #246 South Dakota,8:00 PM,Sanford Coyote Sports Center
32,61.3,#144 Temple  at  #240 Charlotte,3:00 PM,Dale F. Halton Arena
33,61.2,#177 S Florida  at  #213 UTSA,8:00 PM,Convocation Center
34,58.2,#285 Charl South  at  #96 High Point,7:00 PM,Nido and Mariana Qubein Arena
35,57.7,#313 Portland  at  #33 St Marys,10:00 PM,University Credit Union Pavilion
36,55.4,#174 Winthrop  at  #252 Presbyterian,7:00 PM,Ross E. Templeton Physical Education Center
37,54.4,#242 Gard-Webb  at  #191 Longwood,7:00 PM,Joan Perry Brock Center
37,54.4,#249 Evansville  at  #183 Indiana St,7:00 PM,Hulman Center
39,52.5,#235 Richmond  at  #212 La Salle,6:30 PM,John Glaser Arena
40,52.4,#224 Missouri St  at  #225 Valparaiso,8:00 PM,Athletics-Recreation Center
41,51.0,#230 Neb Omaha  at  #228 Kansas City,8:00 PM,Swinney Recreation Center
42,49.7,#151 Wofford  at  #301 VMI,6:00 PM,Cameron Hall
43,44.7,#340 W Carolina  at  #122 Chattanooga,7:00 PM,McKenzie Arena
44,41.6,#280 Navy  at  #231 Colgate,7:00 PM,Cotterell Court
45,38.5,#251 American  at  #282 Army,6:00 PM,Christl Arena
46,37.6,#337 UL Monroe  at  #185 Texas St,8:30 PM,Strahan Arena at the University Events Center
47,25.3,#239 Mercer  at  #359 Citadel,7:00 PM,McAlister Field House
48,24.9,#289 Lafayette  at  #319 Holy Cross,6:00 PM,Hart Center
49,23.9,#322 Loyola-MD  at  #290 Boston U,7:00 PM,Case Gym
50,17.1,#314 Oral Roberts  at  #335 Denver,9:00 PM,Hamilton Gymnasium
51,15.6,#327 IU Indy  at  #330 Detroit,7:00 PM,Calihan Hall
